sample,theta,beta_out,sigma,bEP,bCP,delta,muEI,muIR,muRS,rho,S_0,E_0,I_0,R_0,sig_obs,loglik,loglik.se,flag,file_id,ll_lowIQ
15,41.061659671964,0.0077612723402695,0.122382022258532,0.0021523655858152,-0.0650618100593963,0.0166666666666667,17.9942180300838,37.5988647927617,3.635295844147,0.0020744303763797,0.831715612239865,0.0082738827143493,0.0051889888117244,0.154821516234061,0.0521908352853344,-2134.01293993997,0.797903953281212,1,3060,-2134.551126156458
2,32.9958850096565,0.0034376737318087,0.111727210903718,0.068342364884013,-0.138297889531262,0.0166666666666667,20.0143080183764,29.0004488147285,2.67376052332072,0.0021809547973843,0.854100998053484,0.0065322212765675,0.0038893128132616,0.135477467856687,0.0821060526452562,-2135.19092336969,1.82357309651846,1,2687,-2136.4209234232917
16,41.3756888909828,0.0032588320137367,0.104098306853623,-0.0813608323577978,-0.1129615175963,0.0166666666666667,19.3556534345044,37.7117760701114,2.39546562035179,0.0025890728166488,0.801291061640663,0.0065961651427848,0.0019533121094958,0.190159461107056,0.0554476294873294,-2135.77775043333,0.640306424145512,1,2814,-2136.209637116416
14,49.6597144633178,0.0095220231248073,0.117566402180628,-0.0343158246821191,-0.106147597586171,0.0166666666666667,18.0850870067349,46.433266290273,3.62790555799448,0.0021728826306609,0.838603402649578,0.0092360803441221,0.0049634959024362,0.147197021103864,0.0771932789194346,-2135.92544493772,1.40807258291668,1,3073,-2136.875189894897
16,30.9208479795931,0.0074461517550979,0.11910890304112,-0.0164010796181992,-0.0639502462664543,0.0166666666666667,19.3761041987398,28.7002096375922,3.09843923925189,0.0022804411097741,0.848425708678171,0.0047409657132793,0.0047310848655467,0.142102240743002,0.0574996769509185,-2136.11110481053,0.759783851210783,1,2772,-2136.623579018172
13,44.4832132533729,0.0046717403719349,0.101064297057172,0.0857185211330442,-0.0819353673316638,0.0166666666666667,19.0083864414303,44.9695042727111,2.01848256924804,0.0041425901008877,0.836393884736347,0.0033505379105482,0.0026499401658826,0.157605637187222,0.0805392043607069,-2136.38102481455,1.15986757283258,1,1553,-2137.1633554924256
8,42.2778345421164,0.0070896292369176,0.108870236821611,0.0914171563817536,-0.0688697703943589,0.0166666666666667,18.9866906061818,37.6526516588453,2.84041877570603,0.0021033897243415,0.816625274894903,0.0076947519656563,0.00093630120304497,0.174743671936396,0.0762134476888071,-2136.47962313923,1.07601431131505,1,3346,-2137.205394792212
13,43.8954336687339,0.0085956794635457,0.120675986120571,0.0534323759832304,-0.148229248707736,0.0166666666666667,16.3581480800839,39.6160062208621,1.86216794500084,0.0026398621464788,0.847262336254729,0.0057460823361563,0.0013039139734052,0.145687667435709,0.0820264710478336,-2136.51635128683,0.65768588454299,1,943,-2136.959960415954
17,31.7053090528659,0.00050402377153732,0.134999345353183,0.0885615379022071,-0.0141033267372915,0.0166666666666667,17.9569358413448,28.1430623621491,2.84640032298875,0.0024046984657776,0.822949065578264,0.0068136852405514,0.0024269558340163,0.167810293347168,0.0264305198055572,-2136.57244055546,1.1482369192137,1,3254,-2137.34692635747
6,70.0300398621822,0.0069917929163062,0.101909298089308,0.0023241873767497,-0.0715943942120482,0.0166666666666667,17.4203355596457,74.0241315840949,2.51230360894028,0.0030461324815643,0.863353248053896,0.0047799523055053,0.0010533728307578,0.130813426809841,0.0687900854480807,-2137.08097661185,1.22887569137521,1,1977,-2137.9098532656826
8,29.4473740422777,0.003568516047438,0.111521740801201,0.0702012754485536,-0.0401890676104824,0.0166666666666667,21.2079957174271,27.4536175927294,2.01341533546967,0.003080065942381,0.818223832636626,0.0074583320194517,0.0089752418755764,0.165342593468346,0.0023625638778969,-2137.11592353194,1.23604434425101,1,2321,-2137.9496354421376
7,38.713029523795,0.0075133746667691,0.11050273859752,-0.0663924253767836,-0.113744404681235,0.0166666666666667,18.8291314924415,36.1063527259814,2.59839788254883,0.0023948182608951,0.802414192437711,0.0045041832476045,0.0043299758523275,0.188751648462357,0.0808170660309084,-2137.23405942021,1.66406918856417,1,1605,-2138.3564740878965
11,61.8716367713166,0.0072254856937336,0.102085946460013,0.0507121624495308,-0.0887331125972851,0.0166666666666667,18.2404148802442,59.346402754543,3.05152661650257,0.0020940140213043,0.813314581771347,0.0073095757826504,0.0044075913556706,0.174968251090332,0.0861845160243239,-2137.30035287398,1.20854281066572,1,3292,-2138.115514999774
19,34.1099528247886,0.00010586585460781,0.114730829728188,0.0156587024762967,-0.05046432005841,0.0166666666666667,17.9894681737519,28.6539714784452,2.15298963420801,0.0022931402092138,0.84479147825682,0.0081214599159448,0.0035100344155243,0.143577027411711,0.0698436143758932,-2137.35765190681,0.769748421213896,1,1066,-2137.876847216919
5,32.2582129580185,0.0051380792804159,0.1061111711243,0.0501102321345107,-0.0092807817743164,0.0166666666666667,20.0355661423577,29.0378642378099,1.67399382196105,0.0030632113141886,0.8343638201875,0.003947204676001,0.003430476649685,0.158258498486814,0.0850632222840105,-2137.36013898989,1.23385852488918,1,1462,-2138.1923765649276
7,70.2579652285728,0.0043860708196227,0.104726748632559,0.140333759277926,-0.16804670436091,0.0166666666666667,18.5591785446208,68.1879276915046,1.8560316798383,0.0034830101943613,0.854584553867761,0.0036156145290027,0.0027151697304824,0.139084661872754,0.0914062110289699,-2137.5414885068,1.43435608383325,1,415,-2138.508961685345
1,34.9439482274751,0.0060776225828474,0.100418957793348,0.0438877948718757,-0.18610403202929,0.0166666666666667,20.6164360789698,32.7608007604848,2.99065351288402,0.0022029445307808,0.81389009518703,0.0053075011830196,0.005802926617511,0.17499947701244,0.0778691655649174,-2137.79756301522,1.13144659823331,1,516,-2138.5607237457284
16,38.7638558756624,0.0036947328036204,0.111915206305297,-0.0595672849253173,-0.155546149528391,0.0166666666666667,18.0541124883622,33.5114124375156,2.9761724931664,0.0020906453738151,0.805809529538581,0.0089319623714424,0.0015639010763608,0.183694607013616,0.0784177625394965,-2137.9729300421,0.509561936294533,1,1559,-2138.316629568131
