"parameter","smoothed","quadratic","ci_low","ci_high","mle","span","param_name"
-7.4229074609114,-2176.16384413273,-2186.09373004143,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.41865649026058,-2176.05482044595,-2185.91779562642,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.41440551960976,-2175.94612243261,-2185.74238252727,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.41015454895894,-2175.8377497601,-2185.56749074399,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.40590357830812,-2175.72970209584,-2185.39312027657,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.4016526076573,-2175.62197910721,-2185.219271125,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.39740163700647,-2175.51458046161,-2185.0459432893,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.39315066635565,-2175.40750582645,-2184.87313676946,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.38889969570483,-2175.30075486912,-2184.70085156548,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.38464872505401,-2175.19432725701,-2184.52908767736,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.38039775440319,-2175.08822265754,-2184.3578451051,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.37614678375237,-2174.98244073808,-2184.1871238487,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.37189581310155,-2174.87698116606,-2184.01692390816,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.36764484245072,-2174.77184360885,-2183.84724528349,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.3633938717999,-2174.66702773386,-2183.67808797467,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.35914290114908,-2174.56253320849,-2183.50945198172,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.35489193049826,-2174.45835970014,-2183.34133730462,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.35064095984744,-2174.3545068762,-2183.17374394339,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.34638998919662,-2174.25097440408,-2183.00667189801,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.3421390185458,-2174.14776195116,-2182.8401211685,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.33788804789497,-2174.04486918486,-2182.67409175485,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.33363707724415,-2173.94229577256,-2182.50858365706,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.32938610659333,-2173.84004138167,-2182.34359687513,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.32513513594251,-2173.73810567959,-2182.17913140906,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.32088416529169,-2173.6364883337,-2182.01518725885,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.31663319464087,-2173.53518901142,-2181.8517644245,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.31238222399005,-2173.43420738014,-2181.68886290601,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.30813125333922,-2173.33354310725,-2181.52648270338,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.3038802826884,-2173.23319586016,-2181.36462381662,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.29962931203758,-2173.13316530626,-2181.20328624571,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.29537834138676,-2173.03345111295,-2181.04246999066,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.29112737073594,-2172.93405294764,-2180.88217505148,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.28687640008512,-2172.83497047771,-2180.72240142816,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.2826254294343,-2172.73620337057,-2180.56314912069,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.27837445878347,-2172.63775129362,-2180.40441812909,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.27412348813265,-2172.53961391425,-2180.24620845335,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.26987251748183,-2172.44179089986,-2180.08852009347,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.26562154683101,-2172.34428191785,-2179.93135304945,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.26137057618019,-2172.24708663561,-2179.77470732129,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.25711960552937,-2172.15020472056,-2179.61858290899,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.25286863487855,-2172.05363584008,-2179.46297981255,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.24861766422773,-2171.95737966157,-2179.30789803198,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.2443666935769,-2171.86143585243,-2179.15333756726,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.24011572292608,-2171.76580408006,-2178.9992984184,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.23586475227526,-2171.67048401186,-2178.84578058541,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.23161378162444,-2171.57547531523,-2178.69278406827,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.22736281097362,-2171.48077765756,-2178.540308867,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.2231118403228,-2171.38639070625,-2178.38835498159,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.21886086967198,-2171.2923141287,-2178.23692241204,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.21460989902115,-2171.19854759232,-2178.08601115834,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.21035892837033,-2171.10509076448,-2177.93562122051,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.20610795771951,-2171.01194331261,-2177.78575259854,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.20185698706869,-2170.91910490409,-2177.63640529243,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.19760601641787,-2170.82657520631,-2177.48757930219,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.19335504576705,-2170.7343538867,-2177.3392746278,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.18910407511623,-2170.64244061262,-2177.19149126927,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.1848531044654,-2170.5508350515,-2177.0442292266,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.18060213381458,-2170.45953687072,-2176.8974884998,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.17635116316376,-2170.36854573768,-2176.75126908885,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.17210019251294,-2170.27786131978,-2176.60557099377,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.16784922186212,-2170.18748328443,-2176.46039421454,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.1635982512113,-2170.09741129901,-2176.31573875118,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.15934728056048,-2170.00764503093,-2176.17160460368,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.15509630990965,-2169.91818414758,-2176.02799177204,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.15084533925883,-2169.82902831637,-2175.88490025626,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.14659436860801,-2169.74017720468,-2175.74233005634,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.14234339795719,-2169.65163047993,-2175.60028117228,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.13809242730637,-2169.5633878095,-2175.45875360408,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.13384145665555,-2169.4754488608,-2175.31774735174,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.12959048600473,-2169.38781330122,-2175.17726241526,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.1253395153539,-2169.30048079817,-2175.03729879465,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.12108854470308,-2169.21345101903,-2174.89785648989,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.11683757405226,-2169.12672363122,-2174.758935501,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.11258660340144,-2169.04029830212,-2174.62053582796,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.10833563275062,-2168.95417469913,-2174.48265747079,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.1040846620998,-2168.86835248967,-2174.34530042948,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.09983369144898,-2168.78283134111,-2174.20846470402,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.09558272079815,-2168.69761092086,-2174.07215029443,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.09133175014733,-2168.61269089632,-2173.9363572007,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.08708077949651,-2168.52807093488,-2173.80108542283,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.08282980884569,-2168.44375070396,-2173.66633496082,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.07857883819487,-2168.35972987093,-2173.53210581467,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.07432786754405,-2168.27600810321,-2173.39839798438,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.07007689689323,-2168.19258506818,-2173.26521146996,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.0658259262424,-2168.10946043326,-2173.13254627139,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.06157495559158,-2168.02663386582,-2173.00040238868,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.05732398494076,-2167.94410503329,-2172.86877982184,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.05307301428994,-2167.86187360304,-2172.73767857086,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.04882204363912,-2167.77993924249,-2172.60709863573,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.0445710729883,-2167.69830161903,-2172.47704001647,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.04032010233748,-2167.61696040005,-2172.34750271307,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.03606913168665,-2167.53591525296,-2172.21848672553,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.03181816103583,-2167.45516584515,-2172.08999205384,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.02756719038501,-2167.37471184403,-2171.96201869802,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.02331621973419,-2167.29455291698,-2171.83456665806,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.01906524908337,-2167.21468873142,-2171.70763593397,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.01481427843255,-2167.13511895473,-2171.58122652573,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.01056330778173,-2167.05584325431,-2171.45533843335,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.00631233713091,-2166.97686129757,-2171.32997165683,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.00206136648008,-2166.89817275191,-2171.20512619618,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
